,kepler0,sum,test01_sum3,shoelace_formula,kepler1,rigidBody2,matrixDeterminant2,sineOrder3,delta,delta4,matrixDeterminant,rigidBody1,himmilbeau,kepler2,sqroot
rp_1,3.641531520770447e-14,2.997602166487927e-15,1.589459518314687e-06,,1.521005543736476e-14,0.0,0.0,5.551115123125785e-16,1.2656542480726865e-14,6.994405055138511e-15,0.0,2.2204460492503136e-16,6.661338147750941e-16,1.2656542480726865e-14,1.2545520178264348e-14
rp_2,9.681144774730897e-14,4.107825191113088e-15,2.2252442148386007e-06,,2.8532731732866933e-14,3.108624468950443e-15,6.217248937900896e-15,5.9952043329758635e-15,1.9761969838327982e-14,1.4988010832439727e-14,6.217248937900896e-15,1.3322676295501888e-15,4.6629367034256685e-15,1.9650947535865463e-14,1.2545520178264348e-14
re_1,3.6415315207705135e-14,3.1086244689504383e-15,1.5894607814370687e-06,,1.532107773982716e-14,0.0,0.0,6.661338147750939e-16,1.2656542480726785e-14,7.105427357601002e-15,0.0,2.220446049250313e-16,6.661338147750939e-16,1.2656542480726785e-14,1.2656542480726785e-14
re_2,9.681144774731365e-14,4.218847493575595e-15,2.2252466906902413e-06,,2.864375403532904e-14,3.1086244689504383e-15,6.217248937900877e-15,5.995204332975845e-15,1.9761969838327786e-14,1.509903313490213e-14,6.217248937900877e-15,1.3322676295501878e-15,4.6629367034256575e-15,1.9761969838327786e-14,1.2656542480726785e-14
rp_3,3.641531520770447e-14,2.997602166487927e-15,1.5894599225475328e-06,,1.521005543736476e-14,0.0,0.0,5.551115123125785e-16,1.2656542480726865e-14,6.994405055138511e-15,0.0,2.2204460492503136e-16,6.661338147750941e-16,1.2656542480726865e-14,1.2545520178264348e-14
rp_4,9.681144774730897e-14,4.107825191113088e-15,2.2252444170106633e-06,,2.8532731732866933e-14,3.108624468950443e-15,6.217248937900896e-15,5.9952043329758635e-15,1.9761969838327982e-14,1.4988010832439727e-14,6.217248937900896e-15,1.3322676295501888e-15,4.6629367034256685e-15,1.9650947535865463e-14,1.2545520178264348e-14
re_3,3.6415315207705135e-14,3.1086244689504383e-15,1.5894611857802943e-06,,1.532107773982716e-14,0.0,0.0,6.661338147750939e-16,1.2656542480726785e-14,7.105427357601002e-15,0.0,2.220446049250313e-16,6.661338147750939e-16,1.2656542480726785e-14,1.2656542480726785e-14
re_4,9.681144774731365e-14,4.218847493575595e-15,2.2252468929728764e-06,,2.864375403532904e-14,3.1086244689504383e-15,6.217248937900877e-15,5.995204332975845e-15,1.9761969838327786e-14,1.509903313490213e-14,6.217248937900877e-15,1.3322676295501878e-15,4.6629367034256575e-15,1.9761969838327786e-14,1.2656542480726785e-14
gappa-abs,"(0.0, 1.2317258324401337e-13)","(0.0, 3.6637359812630166e-15)","(0.0, 1.9669532775878906e-06)",,"(0.0, 5.381494361245132e-13)","(0.0, 3.6066261088762985e-11)","(0.0, 3.502975687297294e-12)","(0.0, 8.88600572369317e-16)","(0.0, 2.7605918257158916e-12)","(0.0, 1.3936016785009996e-13)","(0.0, 3.502975687297294e-12)","(0.0, 2.948752353404416e-13)","(0.0, 1.0000889005823412e-12)","(0.0, 2.8797170728012135e-12)","(0.0, 5.707240235963695e-16)"
gappa-rel,,,,,,,,,,,,,,,"(-6.609458567160979e-16, 6.60945856716098e-16)"
gappa-relative,,,,,,,,,,,,,,,"(-6.609458567160979e-16, 6.60945856716098e-16)"
gappa-output-range,"(-35.77920000000001, 159.81760000000003)","(0.0, 9.0)","(0.0, 9.0)",,"(-490.32076800000027, 282.73971200000017)","(-58740.0, 58740.0)","(-6000.0, 6000.0)","(-2.941908418965128, 2.941908418965128)","(-866.0234601922562, 1849.2932567367695)","(-75.78594048, 143.16228095999998)","(-6000.0, 6000.0)","(-705.0, 705.0)","(0.0, 890.0)","(-871.5978240000002, 1860.3230720000001)","(0.8359375, 1.5625)"
