,benchmark,pre-rel,pre-abs,pre-rel-factor,pre-abs-factor,gappa-abs,gappa-rel
0,sum,None,2.6645352591003757e-14,None,1.3322676295501878e-14,3.6637359812630166e-15,
1,kepler0,None,9.53407663928374e-13,None,6.810054742345528e-13,1.2317258324401337e-13,
2,shoelace-formula,None,3.996806885453452e-9,None,1.998403442726726e-9,,
3,add-assoc,6.661338147750937e-16,2.6645352591003757e-12,4.440892098500625e-16,1.7763568394002505e-12,6.821210263296962e-13,3.33066907387547e-16
4,himmilbeau,None,1.1224354778960333e-11,None,5.986322548778844e-12,1.000088900582341e-12,
5,sineOrder3,None,5.937035405398565e-15,None,4.2407393152643635e-15,8.88600572369317e-16,
6,matrixDeterminant2,None,2.2648549702353193e-11,None,6.661338147750939e-12,3.502975687297294e-12,
7,rigidBody1,None,9.79216707719388e-13,None,8.160139230994901e-13,2.948752353404416e-13,
8,delta4,None,1.1438511683081742e-12,None,5.004348861348262e-13,1.3936016785009996e-13,
9,sqroot,3.774758283725525e-15,4.85722573273506e-15,1.332267629550187e-15,1.734723475976807e-15,5.707240235963695e-16,6.60945856716098e-16
10,rigidBody2,None,2.0353718710452995e-10,None,1.0176859355226497e-10,3.6066261088762985e-11,
11,matrixDeterminant,None,2.2648549702353193e-11,None,6.661338147750939e-12,3.502975687297294e-12,
12,test01_sum3,None,1.4305118838819908e-5,None,7.1525583962284145e-6,1.9669532775878906e-06,
13,kepler1,None,5.944255235590392e-12,None,2.842904677891057e-12,5.381494361245132e-13,
