,benchmark,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor
0,sum,0.030051217600000003,,0.00408512626,0.0034752414800000003,0.5339583371400001
1,kepler0,0.10986040768000001,,0.0061987331,0.006743325580000001,
2,shoelace-formula,,,0.0045223752,0.00392088948,0.00507536906
3,add-assoc,0.045501707700000005,0.0265394549,0.00660095506,0.002396525740000002,0.40682851948
4,himmilbeau,0.05809971942,,0.00479341464,0.004574474320000001,0.039528496540000006
5,sineOrder3,0.03177771966,,0.0035174317,0.00175505334,0.02822312208
6,matrixDeterminant2,0.36150238464000006,,0.024745266900000003,0.01785606846,
7,rigidBody1,0.03586303904,,0.009294165560000001,0.0040149419,0.34812978318
8,delta4,0.09700405152000001,,0.01453437542,0.00913243916,2.044841201
9,sqroot,0.16610553408,0.09650582746,0.01593633294,0.00910316974,0.041951275340000004
10,rigidBody2,0.06870343934,,0.01649352086,0.009695721039999999,0.28655674396
11,matrixDeterminant,0.13041437076,,0.012718253660000001,0.011708513000000002,
12,test01_sum3,0.054514848080000004,,0.00608225708,0.004197317360000001,0.72792887076
13,kepler1,0.18225915014000002,,0.019313432020000004,0.03344876772,
