benchmark,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor-rel,fptaylor-abs
add-assoc,,,0.001191144,0.0011533189999999999,,
delta4,,,0.0019072890000000002,0.002836663,,
himmilbeau,,,0.0013102945000000002,0.0013854295,,
kepler0,,,0.0018076140000000001,0.002478114,,
kepler1,,,0.0023284990000000004,0.007715401,,
large/horner/Horner,,,,,,
large/horner/Horner10,,,,,,
large/horner/Horner100,,,,,,
large/horner/Horner1000,,,,,,
large/horner/Horner1100,,,,,,
large/horner/Horner1200,,,,,,
large/horner/Horner1300,,,,,,
large/horner/Horner1400,,,,,,
large/horner/Horner1500,,,,,,
large/horner/Horner1600,,,,,,
large/horner/Horner1700,,,,,,
large/horner/Horner1800,,,,,,
large/horner/Horner1900,,,,,,
large/horner/Horner20,,,,,,
large/horner/Horner200,,,,,,
large/horner/Horner2000,,,,,,
large/horner/Horner300,,,,,,
large/horner/Horner400,,,,,,
large/horner/Horner5,,,0.0012844295,,,0.18602195162000001
large/horner/Horner50,,,,,,
large/horner/Horner500,,,,,,
large/horner/Horner600,,,,,,
large/horner/Horner700,,,,,,
large/horner/Horner800,,,,,,
large/horner/Horner900,,,,,,
large/matmul/matmul10,,,,,,
large/matmul/matmul100,,,,,,
large/matmul/matmul1000,,,,,,
large/matmul/matmul1100,,,,,,
large/matmul/matmul1200,,,,,,
large/matmul/matmul128,,,,,,
large/matmul/matmul1300,,,,,,
large/matmul/matmul1400,,,,,,
large/matmul/matmul1500,,,,,,
large/matmul/matmul16,,,,,,
large/matmul/matmul1600,,,,,,
large/matmul/matmul1700,,,,,,
large/matmul/matmul1800,,,,,,
large/matmul/matmul1900,,,,,,
large/matmul/matmul20,,,,,,
large/matmul/matmul200,,,,,,
large/matmul/matmul2000,,,,,,
large/matmul/matmul256,,,,,,
large/matmul/matmul300,,,,,,
large/matmul/matmul32,,,,,,
large/matmul/matmul4,,,,,,
large/matmul/matmul400,,,,,,
large/matmul/matmul5,,,,,,
large/matmul/matmul50,,,,,,
large/matmul/matmul500,,,,,,
large/matmul/matmul600,,,,,,
large/matmul/matmul64,,,,,,
large/matmul/matmul700,,,,,,
large/matmul/matmul8,,,,,,
large/matmul/matmul800,,,,,,
large/matmul/matmul900,,,,,,
large/serialsum/serial_sum,,,,,,
matrixDeterminant,,,0.001947504,0.0021136985000000004,,
matrixDeterminant2,,,0.0019253590000000002,0.0021168885,,
rigidBody1,,,0.0013523440000000001,0.001321749,,
rigidBody2,,,0.0016860640000000001,0.0017615295000000001,,
sineOrder3,,,0.001266709,0.0012400240000000002,,
sqroot,,,0.0016042740000000002,0.0017406490000000001,,
sum,,,0.0013843190000000002,0.001551384,,
test01_sum3,,,0.0014001595,0.0015478290000000001,,
