benchmark,satire-noAbs,satire-10_20,satire-15_25,satire-20_40,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor-rel,fptaylor-abs,gappa-abs-memory-kb,gappa-rel-memory-kb,numfuzz-memory-kb,numfuzz-factor-memory-kb,fptaylor-memory-kb,gappa-abs-status,gappa-rel-status,numfuzz-status,numfuzz-factor-status,fptaylor-status,satire-noAbs-status,satire-10_20-status,satire-15_25-status,satire-20_40-status
add-assoc,,,,,0.02065055356,0.0205144519,0.00237178,0.0015573590000000001,0.25683011816000006,6.79525676484,7128.0,7164.0,2980.0,3528.0,198812.0,success,success,success,success,success,success,success,success,success
delta4,,,,,0.24444623026,,0.002773414,0.003947939,1.42180139992,0.7100734592600001,18692.0,18020.0,2992.0,2956.0,24816.0,success,failed,success,success,success,success,success,success,success
himmilbeau,,,,,0.0608797712,,0.002364588,0.002773063,0.036617009660000005,0.0400581693,9436.0,9396.0,3036.0,2992.0,7000.0,success,failed,success,success,success,success,success,success,success
kepler0,,,,,0.19906654228,,0.002582345,0.0033716130000000003,2.82638480088,18.19419083196,16344.0,15772.0,3016.0,3004.0,146360.0,success,failed,success,success,success,success,success,success,success
kepler1,,,,,0.44794407936,,0.003726108,0.011203934,0.46865221030000004,15.60094931106,24304.0,24400.0,3044.0,3080.0,205788.0,success,failed,success,success,success,success,success,success,success
large/horner/Horner1024,,86.63926887512207,90.8494234085083,113.0628571510315,,,2.335477855,,,,445628.0,446144.0,310912.0,,16564020.0,timeout,failed,success,success,failed,timeout,success,success,success
large/horner/Horner128,,9.365277290344238,9.859057188034058,12.795867204666138,5.444835787240001,,0.036875211000000005,,,76.34090979124,52064.0,50352.0,8844.0,,,success,failed,success,success,timeout,timeout,success,success,success
large/horner/Horner16,3.7529726028442383,0.978100061416626,1.2471668720245361,3.7406020164489746,0.11468035936000001,,0.0027675490000000002,,46.854952723,10.73101314974,10596.0,10656.0,2952.0,,460932.0,success,failed,success,success,success,success,success,success,success
large/horner/Horner2,,,,,0.0068965597,,0.001970411,,0.25301166306,0.25245914090000005,,,,,,success,failed,success,success,success,success,success,success,success
large/horner/Horner2048,,313.24262499809265,268.7933921813965,283.56246876716614,,,10.904909809,,,,339988.0,341716.0,1220024.0,,,failed,failed,success,success,timeout,timeout,timeout,timeout,success
